pedido_id,cliente_id,data_pedido,canal_venda,uf,estado,regiao,vendedor_id,status_pedido
1,389,2025-12-01,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
2,643,2025-02-16,Site Próprio,RJ,Rio de Janeiro,Sudeste,3,Concluído
3,20,2025-03-01,Marketplace,SP,São Paulo,Sudeste,4,Concluído
4,159,2024-11-26,Site Próprio,MG,Minas Gerais,Sudeste,4,Concluído
5,212,2025-08-02,Marketplace,MG,Minas Gerais,Sudeste,3,Concluído
6,22,2024-11-21,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
7,635,2024-05-19,Site Próprio,MG,Minas Gerais,Sudeste,6,Concluído
8,352,2024-07-21,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
9,587,2025-04-27,Marketplace,RS,Rio Grande do Sul,Sul,3,Concluído
10,17,2025-11-01,Marketplace,PR,Paraná,Sul,5,Concluído
11,511,2024-04-22,Aplicativo,BA,Bahia,Nordeste,3,Concluído
12,405,2024-11-17,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
13,192,2024-07-10,Aplicativo,PR,Paraná,Sul,2,Concluído
14,294,2025-07-19,Aplicativo,SP,São Paulo,Sudeste,6,Concluído
15,393,2025-10-17,Marketplace,RS,Rio Grande do Sul,Sul,5,Concluído
16,420,2024-12-09,Marketplace,SP,São Paulo,Sudeste,3,Concluído
17,474,2025-03-25,Marketplace,RS,Rio Grande do Sul,Sul,1,Concluído
18,281,2025-04-09,Site Próprio,RJ,Rio de Janeiro,Sudeste,4,Concluído
19,101,2025-09-15,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
20,142,2025-02-16,Aplicativo,RJ,Rio de Janeiro,Sudeste,3,Concluído
21,585,2025-01-10,Site Próprio,DF,Distrito Federal,Centro-Oeste,6,Concluído
22,252,2024-05-17,Site Próprio,RS,Rio Grande do Sul,Sul,2,Concluído
23,154,2025-02-12,Marketplace,BA,Bahia,Nordeste,6,Concluído
24,592,2025-11-27,Marketplace,MG,Minas Gerais,Sudeste,3,Concluído
25,321,2025-04-26,Site Próprio,SP,São Paulo,Sudeste,2,Cancelado
26,40,2024-07-09,Site Próprio,BA,Bahia,Nordeste,2,Concluído
27,517,2025-08-25,Aplicativo,SP,São Paulo,Sudeste,4,Concluído
28,535,2025-08-05,Marketplace,PE,Pernambuco,Nordeste,5,Concluído
29,616,2025-05-13,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
30,184,2024-07-02,Marketplace,SP,São Paulo,Sudeste,4,Concluído
31,564,2025-11-23,Site Próprio,DF,Distrito Federal,Centro-Oeste,1,Concluído
32,178,2025-10-11,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
33,235,2025-12-25,Site Próprio,RJ,Rio de Janeiro,Sudeste,6,Concluído
34,618,2024-09-11,Marketplace,SP,São Paulo,Sudeste,2,Concluído
35,2,2024-11-12,Marketplace,RS,Rio Grande do Sul,Sul,3,Concluído
36,419,2025-08-06,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
37,10,2024-04-10,Site Próprio,PE,Pernambuco,Nordeste,5,Concluído
38,627,2025-08-25,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
39,525,2024-03-15,Site Próprio,RS,Rio Grande do Sul,Sul,2,Concluído
40,585,2024-11-04,Marketplace,DF,Distrito Federal,Centro-Oeste,4,Concluído
41,355,2025-02-20,Aplicativo,SP,São Paulo,Sudeste,6,Concluído
42,343,2024-05-21,Aplicativo,ES,Espírito Santo,Sudeste,2,Concluído
43,356,2025-09-14,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Concluído
44,618,2024-04-04,Aplicativo,SP,São Paulo,Sudeste,6,Cancelado
45,476,2024-06-19,Site Próprio,AM,Amazonas,Norte,4,Concluído
46,523,2024-11-10,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
47,322,2025-11-19,Site Próprio,CE,Ceará,Nordeste,5,Concluído
48,19,2025-11-20,Marketplace,SP,São Paulo,Sudeste,3,Concluído
49,278,2024-12-19,Site Próprio,BA,Bahia,Nordeste,2,Concluído
50,572,2024-03-15,Site Próprio,MG,Minas Gerais,Sudeste,6,Concluído
51,148,2025-07-08,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
52,242,2024-09-25,Aplicativo,SP,São Paulo,Sudeste,5,Concluído
53,315,2024-09-10,Site Próprio,MS,Mato Grosso do Sul,Centro-Oeste,2,Concluído
54,302,2025-07-07,Aplicativo,BA,Bahia,Nordeste,4,Concluído
55,456,2024-05-17,Marketplace,RJ,Rio de Janeiro,Sudeste,4,Concluído
56,519,2025-11-08,Marketplace,RJ,Rio de Janeiro,Sudeste,6,Concluído
57,526,2024-05-10,Marketplace,SP,São Paulo,Sudeste,3,Concluído
58,125,2024-09-11,Site Próprio,MA,Maranhão,Nordeste,3,Concluído
59,48,2025-06-05,Site Próprio,SP,São Paulo,Sudeste,3,Cancelado
60,637,2025-12-05,Marketplace,SP,São Paulo,Sudeste,5,Concluído
61,387,2025-12-11,Site Próprio,SC,Santa Catarina,Sul,5,Concluído
62,379,2024-12-16,Site Próprio,PR,Paraná,Sul,6,Concluído
63,471,2025-12-04,Marketplace,RJ,Rio de Janeiro,Sudeste,3,Concluído
64,470,2024-09-27,Site Próprio,PR,Paraná,Sul,2,Concluído
65,20,2025-08-15,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
66,185,2025-10-27,Marketplace,RS,Rio Grande do Sul,Sul,4,Concluído
67,24,2025-11-09,Marketplace,DF,Distrito Federal,Centro-Oeste,4,Concluído
68,38,2024-10-07,Site Próprio,BA,Bahia,Nordeste,2,Concluído
69,445,2025-07-15,Site Próprio,RJ,Rio de Janeiro,Sudeste,6,Concluído
70,231,2025-09-14,Site Próprio,RS,Rio Grande do Sul,Sul,2,Concluído
71,559,2025-11-12,Marketplace,SC,Santa Catarina,Sul,2,Concluído
