item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto_percentual,custo_unitario
1,1,29,1,123.22,0.2306,78.75
2,2,46,1,99.2,0.083,81.26
3,3,42,1,52.28,0.1977,37.56
4,3,24,2,353.46,0.1967,217.31
5,3,35,1,119.45,0.1995,79.44
6,4,37,1,67.06,0.0762,61.9
7,4,6,2,47.83,0.0945,52.6
8,4,29,2,91.08,0.0503,78.75
9,5,4,1,201.22,0.0993,160.15
10,6,4,2,181.1,0.16,160.15
11,6,47,1,133.06,0.1912,89.54
12,6,31,1,54.11,0.1781,39.52
13,7,5,1,201.84,0.0972,185.65
14,7,35,3,119.45,0.0797,79.44
15,7,52,1,200.89,0.0803,115.34
16,7,42,1,52.28,0.0808,37.56
17,8,42,1,52.28,0.1781,37.56
18,9,30,1,210.63,0.0514,145.7
19,9,23,2,51.32,0.1888,43.89
20,9,43,1,261.88,0.0476,182.69
21,9,8,1,41.95,0.089,43.6
22,10,46,1,99.2,0.0805,81.26
23,10,17,1,129.91,0.1781,127.08
24,11,22,1,151.7,0.0504,88.13
25,11,30,1,198.93,0.0678,145.7
26,12,44,2,200.47,0.2275,119.7
27,12,3,1,51.52,0.197,26.91
28,13,13,1,99.24,0.0999,77.45
29,14,32,1,181.25,0.2175,130.06
30,14,8,3,41.95,0.2177,43.6
31,14,33,2,153.87,0.1602,122.16
32,15,5,1,163.4,0.102,185.65
33,15,28,1,165.38,0.0557,142.78
34,16,29,1,91.08,0.2322,78.75
35,16,45,1,45.92,0.2027,39.57
36,16,36,1,78.26,0.1609,66.1
37,17,4,1,201.22,0.0989,160.15
38,18,23,1,48.47,0.1955,43.89
39,19,40,1,72.83,0.1681,53.25
40,20,1,3,109.41,0.1827,91.78
41,20,22,1,160.62,0.101,88.13
42,21,53,1,271.28,0.0271,152.79
43,22,5,2,173.01,0.0585,185.65
44,22,8,2,41.95,0.0867,43.6
45,23,5,2,201.84,0.054,185.65
46,23,42,1,52.28,0.0934,37.56
47,23,6,1,59.08,0.0885,52.6
48,23,39,1,404.82,0.0982,144.85
49,24,5,2,192.23,0.1055,185.65
50,24,40,1,85.68,0.067,53.25
51,24,8,3,46.61,0.0687,43.6
52,25,45,1,64.82,0.2262,39.57
53,25,52,2,229.58,0.2059,115.34
54,26,18,3,480.25,0.0315,173.9
55,26,23,1,57.02,0.2012,43.89
56,26,30,1,234.03,0.0408,145.7
57,27,37,2,78.89,0.2192,61.9
58,28,21,1,107.92,0.0626,94.68
59,29,5,1,201.84,0.1983,185.65
60,29,44,1,175.41,0.2168,119.7
61,30,7,3,146.58,0.2083,103.55
62,30,31,1,63.13,0.2118,39.52
63,31,7,1,139.6,0.0651,103.55
64,31,10,1,176.69,0.0933,120.42
65,32,28,1,175.11,0.1974,142.78
66,32,46,1,105.04,0.2352,81.26
67,33,17,1,152.83,0.1816,127.08
68,33,14,3,135.68,0.1375,105.23
69,33,49,1,92.59,0.0811,73.39
70,33,33,1,170.97,0.14,122.16
71,34,3,3,36.49,0.2,26.91
72,34,13,1,84.35,0.1966,77.45
73,35,6,2,56.27,0.0473,52.6
74,35,32,1,201.39,0.0786,130.06
75,35,20,1,69.76,0.0409,55.18
76,36,32,2,201.39,0.2226,130.06
77,37,36,1,92.07,0.1025,66.1
78,38,6,1,47.83,0.2286,52.6
79,39,13,1,99.24,0.054,77.45
80,39,14,1,135.68,0.1079,105.23
81,40,32,1,312.66,0.0992,130.06
82,41,5,1,173.01,0.2225,185.65
83,42,12,1,362.5,0.0852,209.52
84,42,36,3,96.67,0.0698,66.1
85,42,24,1,353.46,0.0336,217.31
86,42,4,1,211.28,0.0542,160.15
87,43,47,1,147.84,0.1496,89.54
88,43,33,1,170.97,0.1013,122.16
89,44,17,1,175.37,0.277,127.08
90,45,38,1,66.51,0.0812,48.05
91,45,5,1,163.4,0.043,185.65
92,45,20,1,59.3,0.0917,55.18
93,45,36,1,78.26,0.031,66.1
94,46,5,1,192.23,0.1985,185.65
95,46,17,1,152.83,0.2639,127.08
96,47,50,2,156.96,0.0501,118.05
97,47,27,1,176.37,0.0587,88.49
98,47,13,1,104.2,0.0492,77.45
99,48,45,1,56.72,0.236,39.57
100,49,44,2,175.41,0.1011,119.7
101,49,16,1,214.68,0.0464,150.82
102,49,38,1,82.16,0.0537,48.05
103,50,31,1,72.14,0.0526,39.52
104,50,5,1,230.68,0.033,185.65
105,50,45,1,64.82,0.0912,39.57
106,51,51,1,227.38,0.2194,201.19
107,51,7,2,118.66,0.1938,103.55
108,52,5,1,163.4,0.2203,185.65
109,52,14,1,115.33,0.1815,105.23
110,53,23,1,68.42,0.1862,43.89
111,54,3,1,38.64,0.0471,26.91
112,55,40,2,72.83,0.1007,53.25
113,56,25,1,21.53,0.1275,16.13
114,56,51,2,227.38,0.0843,201.19
115,56,3,2,36.49,0.1142,26.91
116,57,4,3,241.46,0.2281,160.15
117,57,11,3,218.65,0.2102,139.55
118,58,4,2,231.4,0.0529,160.15
119,59,6,2,56.27,0.1681,52.6
120,59,17,1,152.83,0.2837,127.08
121,60,16,1,173.79,0.1764,150.82
122,61,19,1,319.82,0.0813,137.57
123,61,5,2,163.4,0.0599,185.65
124,62,5,1,201.84,0.077,185.65
125,62,49,2,97.22,0.0844,73.39
126,62,37,1,82.83,0.0312,61.9
127,62,46,1,122.55,0.0502,81.26
128,63,5,2,192.23,0.1432,185.65
129,64,35,1,96.7,0.0459,79.44
130,65,17,1,216.64,0.3175,127.08
131,66,23,1,51.32,0.2129,43.89
132,66,4,1,181.1,0.0515,160.15
133,67,17,3,152.83,0.1464,127.08
134,67,32,1,201.39,0.0555,130.06
135,68,1,3,127.65,0.1448,91.78
136,68,16,2,214.68,0.1054,150.82
137,69,8,1,39.62,0.1398,43.6
138,69,37,2,67.06,0.0873,61.9
139,70,42,1,42.32,0.0717,37.56
140,71,36,1,96.67,0.0692,66.1
141,72,46,1,122.55,0.0983,81.26
142,73,29,1,128.58,0.1262,78.75
143,73,25,1,30.4,0.11,16.13
144,73,17,1,183.4,0.2512,127.08
145,73,24,1,403.96,0.0792,217.31
146,74,29,1,107.15,0.1008,78.75
147,74,45,1,54.02,0.0872,39.57
148,74,32,2,201.39,0.0885,130.06
149,75,6,2,64.71,0.0673,52.6
150,75,45,1,62.12,0.061,39.57
151,76,4,1,171.04,0.2398,160.15
152,76,31,1,51.1,0.1857,39.52
153,76,14,1,115.33,0.188,105.23
154,76,42,1,42.32,0.1655,37.56
155,77,1,2,103.33,0.1572,91.78
156,77,41,2,247.19,0.0767,180.53
157,78,6,2,59.08,0.09,52.6
158,79,20,2,73.25,0.0517,55.18
159,80,27,1,176.37,0.1961,88.49
160,80,5,3,201.84,0.1945,185.65
161,81,31,2,54.11,0.0351,39.52
162,82,20,1,83.71,0.0532,55.18
163,83,32,1,285.47,0.0898,130.06
164,84,1,1,121.57,0.1502,91.78
165,84,20,3,69.76,0.1013,55.18
166,85,1,1,127.65,0.2917,91.78
167,85,49,1,97.22,0.2111,73.39
168,86,53,3,200.52,0.212,152.79
169,87,49,1,83.33,0.07,73.39
170,88,18,2,480.25,0.1736,173.9
171,88,32,1,201.39,0.2223,130.06
172,89,31,1,54.11,0.2075,39.52
173,89,4,2,181.1,0.1653,160.15
174,89,37,1,71.0,0.2333,61.9
175,90,1,1,172.33,0.1809,91.78
176,90,47,1,209.56,0.0354,89.54
177,90,30,3,331.74,0.0954,145.7
178,90,52,2,271.2,0.105,115.34
179,91,5,1,163.4,0.1078,185.65
180,92,13,1,84.35,0.108,77.45
181,93,41,1,261.73,0.0704,180.53
182,93,5,1,173.01,0.0799,185.65
183,94,19,2,432.7,0.0759,137.57
184,95,6,1,56.27,0.2193,52.6
185,96,6,3,67.52,0.084,52.6
186,97,16,1,173.79,0.0761,150.82
187,97,47,1,125.66,0.0597,89.54
188,98,53,1,200.52,0.1802,152.79
189,99,19,1,376.26,0.1675,137.57
190,100,20,1,59.3,0.199,55.18
191,100,38,1,66.51,0.2078,48.05
192,101,29,1,96.44,0.0701,78.75
193,101,47,1,133.06,0.0328,89.54
194,102,8,1,56.63,0.2241,43.6
195,102,6,1,68.37,0.2201,52.6
196,103,23,1,80.83,0.1605,43.89
197,103,39,1,546.5,0.1047,144.85
198,103,7,1,197.88,0.0789,103.55
199,104,24,1,286.14,0.0836,217.31
200,104,13,1,84.35,0.0314,77.45
201,105,7,2,125.64,0.0518,103.55
202,106,27,2,201.56,0.2206,88.49
203,106,47,1,177.41,0.1606,89.54
204,107,34,1,58.03,0.1752,37.12
205,108,36,1,96.67,0.2067,66.1
206,109,23,1,69.28,0.1895,43.89
207,109,35,1,138.22,0.0924,79.44
208,109,16,1,248.42,0.0361,150.82
209,110,49,2,78.7,0.1087,73.39
210,111,53,1,212.31,0.041,152.79
211,112,43,1,333.9,0.103,182.69
212,113,17,1,129.91,0.2006,127.08
213,114,49,1,106.48,0.1884,73.39
214,114,32,1,231.6,0.1923,130.06
215,115,8,1,72.36,0.0645,43.6
216,115,6,1,87.36,0.0926,52.6
217,116,49,1,78.7,0.0623,73.39
218,116,47,2,125.66,0.0725,89.54
219,116,30,1,198.93,0.0643,145.7
220,117,17,1,129.91,0.177,127.08
221,117,8,1,39.62,0.1007,43.6
222,118,42,1,52.28,0.2095,37.56
223,118,17,1,160.47,0.3523,127.08
224,118,5,1,201.84,0.1968,185.65
225,119,5,2,163.4,0.0879,185.65
226,119,25,1,21.53,0.0572,16.13
227,119,17,2,129.91,0.1222,127.08
228,120,6,2,47.83,0.2185,52.6
229,120,17,3,129.91,0.3182,127.08
230,120,1,1,103.33,0.314,91.78
231,121,6,1,47.83,0.0508,52.6
232,122,17,1,129.91,0.1605,127.08
233,122,12,1,293.45,0.0944,209.52
234,123,12,1,489.38,0.2381,209.52
235,123,41,1,412.22,0.187,180.53
236,124,31,1,51.1,0.0766,39.52
237,125,27,1,176.37,0.1974,88.49
238,125,45,1,56.72,0.1929,39.57
239,126,39,2,327.71,0.0332,144.85
240,126,1,2,103.33,0.2041,91.78
241,127,5,1,221.06,0.1601,185.65
242,127,46,1,134.22,0.1715,81.26
243,127,49,1,106.48,0.1971,73.39
244,127,38,3,89.99,0.1859,48.05
245,128,53,1,318.47,0.0775,152.79
246,129,36,1,124.29,0.0944,66.1
247,129,21,1,171.4,0.0945,94.68
248,130,16,1,234.62,0.072,150.82
249,130,5,1,220.58,0.102,185.65
250,130,35,2,130.54,0.0841,79.44
251,131,17,1,152.83,0.2099,127.08
252,132,31,1,63.13,0.0558,39.52
253,132,9,1,177.17,0.0419,108.49
254,132,46,1,122.55,0.0952,81.26
255,133,15,1,37.45,0.171,22.05
256,134,12,1,293.45,0.0846,209.52
257,134,10,1,150.19,0.0407,120.42
258,134,16,1,173.79,0.0403,150.82
259,135,33,1,170.97,0.2237,122.16
260,135,38,1,78.25,0.1781,48.05
261,135,10,1,176.69,0.2019,120.42
262,136,3,1,36.49,0.2346,26.91
263,137,5,1,173.01,0.1026,185.65
264,137,46,3,105.04,0.086,81.26
265,138,51,1,227.38,0.1045,201.19
266,139,4,1,181.1,0.0705,160.15
267,140,17,1,183.4,0.1649,127.08
268,140,15,2,42.8,0.1052,22.05
269,140,32,1,241.67,0.1064,130.06
270,141,5,2,221.06,0.0467,185.65
271,142,26,2,254.67,0.0617,164.45
272,143,40,2,72.83,0.1888,53.25
273,144,1,1,109.41,0.181,91.78
274,144,46,1,105.04,0.0481,81.26
275,144,5,1,173.01,0.0581,185.65
276,144,40,1,77.11,0.0319,53.25
277,145,42,2,52.28,0.1144,37.56
278,145,28,2,204.3,0.1205,142.78
279,145,13,2,104.2,0.1179,77.45
