ID_Pedido,ID_Item,ID_Cliente,ID_Produto,Estado_Extenso,Canal,ID_Vendedor,Qtd,Preco_Unit,Custo_Unit,Status,Data_Venda_BR,Desconto_Reais
1070,1930,454,6,São Paulo,Site Próprio,4,2,87.36,52.6,Concluído,21/05/2025,40.36
2549,4692,242,5,São Paulo,Site Próprio,3,2,220.58,185.65,Concluído,26/12/2024,90.17
187,354,315,23,Mato Grosso do Sul,Site Próprio,5,3,92.37,43.89,Concluído,07/07/2024,45.06
2386,4392,476,2,Amazonas,Marketplace,4,1,304.62,137.72,Cancelado,08/06/2025,32.05
406,732,267,48,São Paulo,Marketplace,4,1,169.67,66.62,Concluído,13/12/2025,40.43
796,1446,545,15,Santa Catarina,Marketplace,4,1,35.67,22.05,Concluído,10/09/2025,3.77
392,703,547,30,São Paulo,Marketplace,1,2,268.55,145.7,Concluído,08/10/2024,117.52
2551,4697,77,8,São Paulo,Marketplace,6,3,66.07,43.6,Concluído,19/03/2024,33.0
2432,4481,71,40,São Paulo,Aplicativo,2,1,98.32,53.25,Concluído,25/03/2024,21.88
1462,2663,402,12,Rio Grande do Sul,Site Próprio,3,1,466.07,209.52,Cancelado,18/03/2025,19.81
81,161,610,31,Santa Catarina,Marketplace,3,2,54.11,39.52,Concluído,03/02/2025,3.8
2468,4547,642,43,Rio de Janeiro,Site Próprio,2,2,471.39,182.69,Concluído,25/12/2025,91.07
1839,3367,636,49,São Paulo,Site Próprio,6,1,131.25,73.39,Cancelado,16/08/2025,24.31
1780,3254,128,10,Mato Grosso,Aplicativo,3,1,238.53,120.42,Concluído,08/11/2025,14.43
764,1386,517,38,São Paulo,Site Próprio,6,1,105.64,48.05,Concluído,13/02/2025,22.24
273,502,248,24,São Paulo,Marketplace,2,2,386.28,217.31,Concluído,15/01/2025,168.11
2285,4214,450,10,Minas Gerais,Marketplace,2,1,238.53,120.42,Concluído,22/11/2025,21.9
2620,4823,444,7,Rio de Janeiro,Site Próprio,5,1,169.61,103.55,Concluído,23/07/2024,24.81
2201,4056,572,1,Minas Gerais,Site Próprio,1,3,196.94,91.78,Concluído,16/09/2024,77.46
1772,3239,255,20,Rio de Janeiro,Site Próprio,2,1,113.01,55.18,Concluído,25/09/2024,12.79
1236,2234,497,47,Pernambuco,Aplicativo,2,2,209.56,89.54,Concluído,16/07/2024,35.67
2167,3992,504,3,São Paulo,Site Próprio,6,1,60.85,26.91,Concluído,27/07/2024,11.02
1733,3162,202,34,São Paulo,Aplicativo,5,1,96.77,37.12,Concluído,08/11/2025,19.97
1464,2666,96,3,Pernambuco,Site Próprio,5,1,66.65,26.91,Concluído,09/03/2025,7.0
555,1008,167,11,São Paulo,Marketplace,2,1,245.98,139.55,Concluído,24/07/2025,56.3
1206,2172,613,17,Paraná,Site Próprio,5,2,237.27,127.08,Concluído,07/05/2024,79.11
1047,1891,523,18,São Paulo,Site Próprio,2,2,648.34,173.9,Concluído,08/08/2025,210.84
715,1288,557,32,Mato Grosso do Sul,Marketplace,3,1,285.47,130.06,Concluído,10/11/2025,15.24
199,369,556,29,Rio Grande do Sul,Marketplace,1,1,144.65,78.75,Concluído,03/10/2024,11.07
1687,3066,129,35,Paraná,Site Próprio,5,1,153.58,79.44,Concluído,25/11/2024,7.62
731,1319,2,47,Rio Grande do Sul,Site Próprio,1,1,199.58,89.54,Concluído,12/10/2025,14.57
267,494,379,5,Paraná,Site Próprio,2,1,272.49,185.65,Concluído,11/12/2025,13.6
1088,1964,216,43,Rio de Janeiro,Site Próprio,5,3,412.46,182.69,Concluído,23/09/2024,139.21
2187,4031,428,21,Mato Grosso do Sul,Site Próprio,2,1,145.69,94.68,Concluído,13/12/2024,6.38
2476,4563,172,8,São Paulo,Site Próprio,5,1,62.92,43.6,Concluído,16/05/2025,13.57
178,334,483,17,Minas Gerais,Marketplace,3,1,129.91,127.08,Cancelado,22/10/2025,23.34
814,1476,319,13,Minas Gerais,Site Próprio,1,1,133.97,77.45,Concluído,19/09/2025,7.66
377,680,10,31,Pernambuco,Site Próprio,2,1,81.16,39.52,Concluído,20/11/2025,7.3
1568,2837,617,21,Bahia,Site Próprio,6,1,145.69,94.68,Concluído,21/11/2025,15.04
630,1139,47,46,São Paulo,Marketplace,6,1,157.56,81.26,Concluído,14/04/2025,31.28
678,1222,521,41,São Paulo,Site Próprio,2,1,247.19,180.53,Concluído,02/11/2024,43.38
2174,4008,626,38,Rio Grande do Sul,Site Próprio,4,2,95.07,48.05,Concluído,19/05/2025,6.96
1596,2899,391,45,Rio de Janeiro,Marketplace,1,1,72.93,39.57,Concluído,26/12/2024,6.57
205,381,78,17,Amazonas,Aplicativo,1,1,137.55,127.08,Concluído,26/11/2024,19.97
2471,4555,522,1,São Paulo,Site Próprio,3,1,139.5,91.78,Concluído,20/09/2025,47.85
2358,4345,318,11,Pernambuco,Marketplace,1,3,209.09,139.55,Concluído,07/09/2025,52.31
33,68,235,14,Rio de Janeiro,Site Próprio,6,3,135.68,105.23,Concluído,25/12/2025,55.97
1707,3106,140,45,São Paulo,Marketplace,4,1,62.12,39.57,Concluído,07/10/2025,13.96
1905,3498,219,29,Goiás,Site Próprio,1,1,173.58,78.75,Concluído,07/09/2025,10.0
1042,1883,258,16,São Paulo,Marketplace,5,3,289.82,150.82,Concluído,22/06/2025,159.72
258,478,609,5,Rio de Janeiro,Site Próprio,5,2,163.4,185.65,Concluído,21/05/2024,45.26
2385,4391,255,20,Rio de Janeiro,Site Próprio,5,1,113.01,55.18,Concluído,05/11/2025,8.04
2563,4723,121,15,São Paulo,Site Próprio,3,3,48.15,22.05,Concluído,05/04/2025,26.23
1315,2383,250,5,Pernambuco,Marketplace,4,1,233.56,185.65,Concluído,15/07/2025,16.14
653,1173,246,35,Paraná,Site Próprio,6,2,96.7,79.44,Concluído,20/11/2025,20.77
2511,4633,67,25,Minas Gerais,Site Próprio,1,1,39.32,16.13,Concluído,25/12/2025,2.02
1303,2360,221,38,São Paulo,Site Próprio,6,1,110.92,48.05,Concluído,14/02/2025,24.54
230,426,466,45,São Paulo,Site Próprio,6,1,61.99,39.57,Concluído,26/08/2025,12.19
1247,2256,45,36,São Paulo,Site Próprio,5,2,96.67,66.1,Concluído,16/09/2025,44.82
740,1334,249,37,Minas Gerais,Site Próprio,3,3,95.85,61.9,Concluído,13/09/2025,27.58
104,200,481,13,Distrito Federal,Site Próprio,6,1,84.35,77.45,Concluído,20/04/2025,2.65
1301,2358,44,39,São Paulo,Marketplace,5,1,385.54,144.85,Concluído,03/09/2025,63.07
1860,3407,624,6,São Paulo,Site Próprio,6,2,75.96,52.6,Concluído,13/01/2025,26.84
1074,1939,379,1,Paraná,Marketplace,2,1,172.33,91.78,Concluído,24/11/2025,28.52
2346,4326,599,47,Santa Catarina,Site Próprio,6,1,229.52,89.54,Concluído,19/08/2024,22.52
73,144,137,17,Rio de Janeiro,Site Próprio,1,1,183.4,127.08,Concluído,09/07/2024,46.07
2575,4745,92,51,Rio Grande do Sul,Marketplace,2,1,306.97,201.19,Concluído,14/06/2024,32.14
130,250,326,35,Paraná,Site Próprio,1,2,130.54,79.44,Concluído,07/06/2024,21.96
2289,4223,438,52,Minas Gerais,Site Próprio,6,1,271.2,115.34,Concluído,11/08/2025,28.48
802,1455,114,3,Pará,Marketplace,5,2,66.65,26.91,Cancelado,22/11/2025,8.53
2028,3735,413,28,Pernambuco,Site Próprio,4,1,236.4,142.78,Concluído,20/06/2025,11.7
226,418,96,45,Pernambuco,Marketplace,2,1,62.12,39.57,Concluído,06/04/2024,2.24
504,912,479,35,São Paulo,Site Próprio,5,1,161.25,79.44,Concluído,21/01/2025,38.26
2415,4446,131,14,Bahia,Site Próprio,6,1,183.17,105.23,Concluído,11/03/2025,14.73
1427,2597,138,21,Minas Gerais,Site Próprio,1,2,179.97,94.68,Concluído,07/07/2025,11.63
1885,3457,180,36,São Paulo,Site Próprio,2,3,124.29,66.1,Concluído,01/07/2025,76.18
1790,3274,189,22,Santa Catarina,Site Próprio,5,1,240.93,88.13,Concluído,25/02/2025,7.78
1277,2310,221,45,São Paulo,Marketplace,1,3,56.72,39.57,Cancelado,18/08/2025,29.11
1175,2113,177,5,São Paulo,Marketplace,4,1,272.49,185.65,Concluído,21/09/2024,50.6
2452,4517,114,20,Pará,Site Próprio,6,3,108.3,55.18,Concluído,04/11/2024,16.8
2008,3698,96,21,Pernambuco,Site Próprio,6,1,197.11,94.68,Cancelado,22/12/2025,7.29
1478,2696,62,8,São Paulo,Marketplace,5,1,41.95,43.6,Concluído,09/08/2025,8.32
715,1289,557,12,Mato Grosso do Sul,Marketplace,3,1,489.38,209.52,Concluído,10/11/2025,44.63
913,1656,53,6,Paraná,Site Próprio,3,1,68.37,52.6,Concluído,18/05/2024,3.75
504,913,479,36,São Paulo,Site Próprio,5,2,130.51,66.1,Concluído,21/01/2025,46.04
1781,3256,91,17,São Paulo,Site Próprio,6,2,175.37,127.08,Concluído,27/12/2025,116.59
2099,3866,133,36,Rio de Janeiro,Marketplace,2,1,105.65,66.1,Concluído,07/05/2025,11.59
423,766,340,38,Bahia,Marketplace,3,2,89.79,48.05,Concluído,26/07/2025,7.33
2127,3916,487,53,Paraná,Aplicativo,1,1,318.47,152.79,Concluído,21/06/2025,25.29
74,147,75,45,Paraná,Marketplace,5,1,54.02,39.57,Concluído,07/07/2025,4.71
628,1134,195,48,São Paulo,Marketplace,5,1,155.25,66.62,Concluído,15/10/2024,33.58
1458,2657,305,36,São Paulo,Site Próprio,1,1,105.65,66.1,Concluído,07/03/2025,25.03
213,395,408,34,São Paulo,Aplicativo,1,2,61.44,37.12,Concluído,17/11/2025,20.62
2557,4711,560,9,São Paulo,Site Próprio,6,3,205.01,108.49,Concluído,08/11/2025,147.36
23,46,154,42,Bahia,Marketplace,6,1,52.28,37.56,Concluído,12/02/2025,4.88
1713,3119,585,17,Distrito Federal,Marketplace,3,1,237.27,127.08,Concluído,24/04/2024,47.45
170,322,648,45,Goiás,Site Próprio,5,1,54.02,39.57,Concluído,17/08/2025,3.84
1199,2160,165,48,Minas Gerais,Marketplace,6,1,199.61,66.62,Concluído,09/12/2024,12.46
2410,4438,269,30,Rio de Janeiro,Site Próprio,5,1,268.55,145.7,Concluído,24/06/2025,22.77
1085,1958,614,36,São Paulo,Marketplace,4,1,105.65,66.1,Concluído,17/07/2025,19.86
1793,3280,80,32,Ceará,Site Próprio,1,1,244.69,130.06,Concluído,16/09/2024,25.81
1339,2428,150,1,São Paulo,Site Próprio,2,2,147.71,91.78,Concluído,27/10/2025,91.11
2005,3691,208,20,Paraná,Site Próprio,6,1,94.18,55.18,Concluído,26/02/2025,10.28
1213,2185,583,44,São Paulo,Site Próprio,5,1,259.36,119.7,Concluído,17/08/2025,57.92
1483,2702,356,22,Rio de Janeiro,Marketplace,5,1,240.93,88.13,Concluído,27/05/2025,33.34
2032,3744,322,29,Ceará,Marketplace,3,1,151.89,78.75,Concluído,02/07/2024,10.02
1150,2072,335,6,São Paulo,Site Próprio,4,2,50.64,52.6,Concluído,16/11/2025,22.32
754,1368,616,47,São Paulo,Marketplace,1,1,209.56,89.54,Concluído,06/08/2024,41.26
1701,3096,508,5,São Paulo,Site Próprio,6,1,298.44,185.65,Concluído,01/10/2024,50.29
1306,2365,291,8,Pernambuco,Aplicativo,5,1,53.48,43.6,Concluído,07/11/2025,4.73
514,931,100,17,São Paulo,Site Próprio,3,1,137.55,127.08,Concluído,13/03/2025,39.44
1256,2269,511,39,Bahia,Site Próprio,4,2,442.41,144.85,Concluído,26/04/2024,92.29
1638,2976,83,2,Distrito Federal,Site Próprio,3,2,322.53,137.72,Concluído,15/11/2025,21.48
2033,3747,390,40,São Paulo,Marketplace,4,1,121.45,53.25,Concluído,14/07/2025,20.0
1079,1946,571,45,Santa Catarina,Site Próprio,1,3,76.57,39.57,Cancelado,08/10/2025,11.76
2536,4674,435,3,Rio Grande do Sul,Aplicativo,6,1,36.49,26.91,Concluído,21/12/2025,1.62
2222,4093,540,8,Paraná,Marketplace,1,1,56.63,43.6,Concluído,07/05/2024,4.76
237,436,583,18,São Paulo,Marketplace,4,1,552.29,173.9,Concluído,22/05/2025,131.83
334,607,468,5,São Paulo,Marketplace,3,2,163.4,185.65,Concluído,25/09/2024,59.35
35,75,2,20,Rio Grande do Sul,Marketplace,3,1,69.76,55.18,Concluído,12/11/2024,2.85
981,1765,587,12,Rio Grande do Sul,Site Próprio,1,1,419.47,209.52,Concluído,16/08/2025,22.11
1821,3334,475,40,Rio de Janeiro,Site Próprio,1,1,115.67,53.25,Concluído,24/11/2024,14.93
733,1323,197,7,Minas Gerais,Site Próprio,3,3,167.52,103.55,Concluído,23/05/2025,48.75
869,1577,414,49,Rio Grande do Sul,Aplicativo,3,1,97.22,73.39,Concluído,16/12/2025,10.65
1938,3550,96,45,Pernambuco,Aplicativo,1,1,83.87,39.57,Concluído,18/10/2025,4.1
56,114,519,51,Rio de Janeiro,Marketplace,6,2,227.38,201.19,Concluído,08/11/2025,38.34
544,987,562,7,Rio de Janeiro,Site Próprio,3,1,188.46,103.55,Concluído,23/09/2025,24.73
2407,4433,396,13,Santa Catarina,Marketplace,3,1,120.58,77.45,Concluído,09/11/2025,7.26
412,748,178,21,São Paulo,Site Próprio,4,1,154.26,94.68,Concluído,27/05/2025,34.86
1035,1864,65,27,Ceará,Site Próprio,6,1,226.76,88.49,Concluído,21/10/2025,24.85
118,223,636,17,São Paulo,Aplicativo,2,1,160.47,127.08,Concluído,11/10/2025,56.53
