pedido_id,item_id,cliente_id,produto_id,data_pedido,UF_Sigla,canal_venda,vendedor_id,quantidade,preco_unitario,desconto_percentual,custo_unitario,status_pedido
2305,4249,104,3,2025-02-05,SP,Site Próprio,4,2,66.65,0.1706,26.91,Concluído
1459,2659,125,47,2025-11-12,MA,Site Próprio,1,1,229.52,0.0887,89.54,Concluído
2509,4628,531,40,2025-11-13,SP,Aplicativo,6,1,115.67,0.1643,53.25,Concluído
2155,3967,460,41,2024-09-20,SP,Site Próprio,5,1,412.22,0.2103,180.53,Concluído
2312,4261,278,1,2025-07-15,BA,Marketplace,6,1,172.33,0.1594,91.78,Concluído
492,891,308,20,2024-07-20,BA,Marketplace,3,1,80.05,0.0481,55.18,Concluído
2308,4254,599,8,2024-05-26,SC,Site Próprio,4,2,72.36,0.0823,43.6,Concluído
2046,3769,33,45,2025-12-14,MG,Site Próprio,4,1,83.87,0.0437,39.57,Concluído
2093,3854,169,29,2025-08-11,SP,Site Próprio,2,1,122.95,0.1941,78.75,Concluído
1270,2302,569,26,2025-05-04,MG,Site Próprio,5,1,395.38,0.0643,164.45,Concluído
597,1079,558,10,2025-11-14,PA,Marketplace,1,3,176.69,0.0914,120.42,Cancelado
1692,3076,125,31,2024-07-09,MA,Site Próprio,6,1,93.34,0.0478,39.52,Concluído
114,214,632,32,2025-06-18,SP,Marketplace,2,1,231.6,0.1923,130.06,Concluído
2188,4032,361,6,2024-12-14,SP,Site Próprio,3,1,91.16,0.2117,52.6,Concluído
74,146,75,29,2025-07-07,PR,Marketplace,5,1,107.15,0.1008,78.75,Concluído
98,188,241,53,2024-08-10,SP,Site Próprio,2,1,200.52,,152.79,Concluído
1430,2605,538,24,2024-11-21,RJ,Site Próprio,4,2,477.17,0.0972,217.31,Concluído
875,1585,543,9,2025-12-27,DF,Marketplace,2,1,168.73,0.0492,108.49,Concluído
2325,4284,25,20,2025-05-02,MG,Site Próprio,3,1,94.18,0.0906,55.18,Concluído
2390,4401,62,45,2025-04-22,SP,Marketplace,1,1,65.63,0.2366,39.57,Concluído
1503,2730,381,13,2025-04-24,PR,Site Próprio,2,2,113.88,0.0786,77.45,Concluído
1849,3388,484,7,2024-11-21,SP,Marketplace,5,2,188.46,0.1647,103.55,Concluído
